,Section(Russian),Section(English),Question(Russian),Question(English),Options(Russian),Option(English),Answer,Solution(Russian),Solution(English)
878,Логика,Logic,В классе 15 девочек и 10 мальчиков. На участие в межкласном соревновании нужны 4 мальчика и 5 девочек. Определите количество способов выбора учеников на участие в соревновании.,There are 15 girls and 10 boys in the class. Four boys and five girls are needed to participate in an interclass competition. Determine the number of ways to select students to participate in the competition.,A) 540540 B) 630630 C) 720720 D) 840840 E) 900900,A) 540540 B) 630630 C) 720720 D) 840840 E) 900900,B,"Используем формулу сочетаний (произведение двух комбинации): C(15,5)*C(10,4) (нам нужны 5 девочек из 15 и 4 мальчика из 10): C(15,5)*C(10,4)= 15!/5!*(15−5)! * 10!/4!*(10−4)!=630630. Ответ: 630630.","We use the formula of combinations (product of two combinations): C(15,5)*C (10,4) (we need 5 girls out of 15 and 4 boys out of 10): C(15,5)*C(10,4)= 15!/5!*(15-5)! * 10!/4!*(10−4)!=630630. Answer: 630630."
879,Логика,Logic,"Определите сколько можно составить трехзначных чисел, используя цифры 0 и 1.",Determine how many three-digit numbers can be made up using the digits 0 and 1.,A) 3 B) 4 C) 6 D) 8 E) 9,A) 3 B) 4 C) 6 D) 8 E) 9,B,"Для того, чтобы составить трёхзначное число, нужно три цифры, а у нас есть только две. Это говорит о том, что некоторые цифры будут повторяться. Но поскольку 0 не может быть первой цифрой в числе, то количество комбинаций значительно уменьшается.
 Таким образом, можем записать такие трёхзначные числа: 100, 101, 110 и 111. Ответ: 4 числа.","To make a three-digit number, you need three digits, and we only have two. This means that some numbers will be repeated. But since 0 cannot be the first digit in a number, the number of combinations is significantly reduced.
 Thus, we can write such three-digit numbers: 100, 101, 110, and 111. Answer: 4 numbers."
880,Алгебра,Algebra,Сколько шестизначных чисел кратных пяти?,How many six-digit numbers are divisible by five?,A) 120000 B) 150000 C) 180000 D) 240000 E) 320000,A) 120000 B) 150000 C) 180000 D) 240000 E) 320000,C,"Чтобы найти количество шестизначных чисел кратных 5, определим их диапазон: от 100000 до 999995. Количество таких чисел можно вычислить по формуле: (999995 - 100000) / 5 + 1, это равно 180000. Ответ: 180000.","To find the number of six-digit numbers that are multiples of 5, define their range: from 100,000 to 999995. The number of such numbers can be calculated using the formula: (999995 - 100000) / 5 + 1, this is equal to 180000. Answer: 180000."
881,Логика,Logic,"Определите сколько шестизначных чисел, у котороых каждая последующая цифра меньше предыдущей?",Determine how many six-digit numbers have each successive digit less than the previous digit?,A) 180 B) 210 C) 240 D) 300 E) 360,A) 180 B) 210 C) 240 D) 300 E) 360,B,"Первый способ. Каждому такому числу однозначно соответствует выбор шести цифр из числа 9 8 7 6 5 4 3 2 1 0.
 
 Второй способ. Чтобы получить число с ""убывающими цифрами"" нужно из числа 9 8 7 6 5 4 3 2 1 0 вычеркнуть любые четыре цифры. С(10,6)=С(10,4)=210. Ответ: 210.","The first method. Each such number uniquely corresponds to the choice of six digits from the number 9 8 7 6 5 4 3 2 1 0.
 
 The second method. To get a number with ""decreasing digits"" you need from the number 9 8 7 6 5 4 3 2 1 0 cross out any four digits. C(10,6)=C (10,4)=210. Answer: 210."
882,Алгебра,Algebra,"Сколько семизначных чисел, у котороых все цифры различные.",How many seven-digit numbers are there in which all the digits are different.,A) 480640 B) 544320 C) 620576 D) 6520676 E) 464480,A) 480640 B) 544320 C) 620576 D) 6520676 E) 464480,B,"На первое место можно поставить любую из 9 цифр, кроме 0.
 На втором месте может стоять любая из 8 оставших цифр и 0. то есть снова выбираем из 9 цифр
 На третьем месте может стоять любая из 8 оставшихся
 На четвертом - любая из 7
 На пятом любая из 6
 На шестом месте любая из 5
 На седьмом месте любая из 4
 Всего количество комбинаций будет N=9*9*8*7*6*5*4 = 544320 чисел. Ответ: 544320.","In the first place, you can put any of the 9 digits, except 0.
 In second place can be any of the 8 lowest digits and 0. that is, again choose from 9 digits
 In third place can be any of the remaining 8
 On the fourth - any of the 7
 On the fifth any of the 6
 On the sixth place any of the 5
 In seventh place is any of the 4
 The total number of combinations will be N=9*9*8*7*6*5*4 = 544320 numbers. Answer: 544320."
883,Алгебра,Algebra,"Сколько можно составить пятизначных чисел, используя цифры 0; 1; 2; 3.",How many five-digit numbers can be made up using the digits 0; 1; 2; 3.,A) 576 B) 664 C) 768 D) 842 E) 910,A) 576 B) 664 C) 768 D) 842 E) 910,C,"Представим образно, что каждая цифра в пятизначном числе отдельная ячейка (это для того, чтобы было понятно моё рассуждение). В 1-ю ячейку мы можем поставить 3 цифры (1, 2, 3), так как 0 не может быть первой цифрой, иначе это будет четырёхзначное число. Во 2-ю ячейку мы можем поставить 4 цифры (0, 1, 2, 3), потому что не сказано, что числам нельзя повторяться. В 3-ю ячейку также 4 цифры (0, 1, 2, 3). В 4-ю ячейку 4 цифры (0, 1, 2, 3). И, наконец, в 5-ю ячейку 4 цифры (0, 1, 2, 3). Теперь, чтобы найти количество пятизначных чисел, которое можно составить из цифр 0, 1, 2, 3, мы все варианты подстановок в ячейки перемножаем: 3*4*4*4*4=768. Ответ: 768 пятизначных чисел можно образовать.","Let's imagine that each digit in a five-digit number is a separate cell (this is to make my reasoning clear). In the 1st cell, we can put 3 digits (1, 2, 3), since 0 cannot be the first digit, otherwise it will be a four-digit number. In the 2nd cell, we can put 4 digits (0, 1, 2, 3), because it doesn't say that numbers can't be repeated. There are also 4 digits in the 3rd cell (0, 1, 2, 3). There are 4 digits in the 4th cell (0, 1, 2, 3). And finally, in the 5th cell there are 4 digits (0, 1, 2, 3). Now, to find the number of five-digit numbers that can be made up of the digits 0, 1, 2, 3, we multiply all the variants of substitutions in the cells: 3*4*4*4*4=768. Answer: 768 five-digit numbers can be formed."
884,Логика,Logic,"В коробке имеются 40 шаров, из них 17 зеленых, 12 синих, 5 красных, остальные белые и черные. Какое наименьшее число шаров нужно вынуть из коробки чтобы среди них заведомо оказались 6 шаров одинакового цвета?","There are 40 balls in a box, 17 of them are green, 12 are blue, 5 are red, the rest are white and black. What is the smallest number of balls to be taken out of the box so that 6 balls of the same color are known to be among them?",A) 22 B) 18 C) 24 D) 16 E) 31,A) 22 B) 18 C) 24 D) 16 E) 31,A,"Определим количество каждого цвета:
 Зеленые: 17
 Синие: 12
 Красные: 5
 Остальные: 40−(17+12+5)=6 (белые и черные)
 Для того чтобы не получить 6 одинаковых шаров, нужно вынуть максимальное количество шаров, при котором у нас будет меньше 6 шаров любого цвета.
 Зеленые: макс. 5 шаров
 Синие: макс. 5 шаров
 Красные: макс. 5 шаров
 Белые и черные: макс. 6 шаров (в сумме)
 Если вынуть 5 зеленых, 5 синих, 5 красных и 6 белых/черных, то получаем:
 5+5+5+6=21 - в этом случае у нас нет 6 шаров одного цвета.
 
 Чтобы среди вынутых шаров обязательно оказалось 6 шаров одного цвета, нужно вынуть на один шар больше:
 21+1=22
 Ответ: чтобы среди вынутых шаров заведомо оказались 6 шаров одного цвета, необходимо вынуть 22 шара.","Let's determine the number of each color:
 Green: 17
 Blue ones: 12
 Red: 5
 Others: 40−(17+12+5)=6 (white and black)
 In order not to get 6 identical balls, you need to take out the maximum number of balls, in which we will have less than 6 balls of any color.
 Green: max. 5 balls
 Blue: max. 5 balls
 Red: max. 5 balls
 White and black: max. 6 balls (in total)
 If you take out 5 green, 5 blue, 5 red and 6 white/black, we get:
 5+5+5+6=21 - in this case, we don't have 6 balls of the same color.
 
 To make sure that there are 6 balls of the same color among the removed balls, you need to take out one more ball:
 21+1=22
 Answer: in order for 6 balls of the same color to appear among the removed balls, 22 balls must be removed."
885,Логика,Logic,"В коробке есть 6 красных, 3 белых, 2 зеленых и 1 желтый, всего 12 одинаковых шаров. При одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы было 2 одинакового цвета?","A box contains 6 red, 3 white, 2 green and 1 yellow, for a total of 12 identical balls. On a one-shot attempt, despite how many balls must be taken to have 2 of the same color?",A) 3 B) 4 C) 5 D) 6 E) 7,A) 3 B) 4 C) 5 D) 6 E) 7,C,"Всего в коробке шары четырёх видов, значит, чтобы хотя бы два шара были одинаковыми, нужно взять минимум на один шар больше - 5.
 Ответ: 5.","In total, there are four types of balls in the box, so in order for at least two balls to be the same, you need to take at least one ball more - 5.
 Answer: 5."
886,Логика,Logic,"В коробке есть белые, зеленые и синие шары. Количество синих шаров не меньше белых и равно одной трети количества зеленых шаров. Сумма синих и белых шаров равняется 55. В одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы было 2 зеленых?","There are white, green and blue balls in the box. The number of blue balls is as many as the white balls and is equal to one third of the number of green balls. The sum of the blue and white balls is 55. In a one-shot attempt, despite how many balls must be taken to have 2 green balls?",A) 45 B) 47 C) 49 D) 51 E) 57,A) 45 B) 47 C) 49 D) 51 E) 57,E,"Для точного получения двух зеленых шаров нужно учесть худший случай: сначала взять все белые и синие шары, и затем добавить ещё два. Поскольку количество белых и синих шаров вместе составляет 55, для гарантии двух зеленых шаров потребуется взять 55 + 2 = 57 шаров. Ответ: 57.","To accurately get two green balls, you need to take into account the worst case: first take all the white and blue balls, and then add two more. Since the number of white and blue balls together is 55, to guarantee two green balls, you will need to take 55 + 2 = 57 balls. Answer: 57."
887,Логика,Logic,"В коробке есть белые, зеленые и синие шары. Количество синих шаров не меньше белых и равно одной трети количества зеленых шаров. Сумма синих и белых шаров равняется 55. В одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы был 1 белый?","There are white, green and blue balls in the box. The number of blue balls is as many as the white balls and is equal to one third of the number of green balls. The sum of the blue and white balls is 55. In a one-shot attempt, despite how many balls must be taken to have 1 white ball?",A) 100 B) 106 C) 109 D) 113 E) 119,A) 100 B) 106 C) 109 D) 113 E) 119,D,"Обозначим количество белых шаров как B, зеленых как G, а синих как S.
 По условию: количество синих шаров не меньше количества белых (S ≥ B).
 Количество синих шаров равно одной трети количества зеленых (S = G / 3). Поэтому, G = 3S.
 Сумма синих и белых шаров равна 55 (S + B = 55).
 B = 55 - S
 Подставим B в неравенство S ≥ B:
 S ≥ 55 - S
 2S ≥ 55
 S ≥ 27.5
 Так как S должно быть целым числом, минимальное значение S - 28.
 Если S = 28, то G = 3 * 28 = 84 и B = 55 - 28 = 27.
 В итоге, у нас есть 27 белых, 28 синих и 84 зеленых шара.
 Чтобы гарантировать наличие хотя бы одного белого шара, нужно учитывать худший случай: мы можем сначала взять все синие и зеленые шары, что в сумме дает 28 синих + 84 зеленых = 112 шаров.
 Чтобы гарантировать наличие одного белого шара, нужно взять еще один шар:
 112 (синие и зеленые) + 1 (дополнительный белый) = 113. Ответ: 113.","Let's denote the number of white balls as B, green balls as G, and blue balls as S.
 By condition: the number of blue balls is not less than the number of white ones (S ≥ B).
 The number of blue balls is equal to one-third of the number of green ones (S = G / 3). Therefore, G = 3S.
 The sum of the blue and white balls is 55 (S + B = 55).
 B = 55-S
 Substitute B for the inequality S ≥ B:
 S ≥ 55 - S
 2S ≥ 55
 S ≥ 27.5
 Since S must be an integer, the minimum value of S is 28.
 If S = 28, then G = 3 * 28 = 84 and B = 55-28 = 27.
 As a result, we have 27 white, 28 blue and 84 green balls.
 To guarantee the presence of at least one white ball, you need to take into account the worst case: we can first take all the blue and green balls, which adds up to 28 blue + 84 green = 112 balls.
 To guarantee the presence of one white ball, you need to take another ball:
 112 (blue and green) + 1 (extra white) = 113. Answer: 113."
888,Логика,Logic,"В коробке есть белые, зеленые и синие шары. Количество синих шаров не меньше белых и равно одной трети количества зеленых шаров. Сумма синих и белых шаров равняется 55. В одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы было 2 синих?","There are white, green and blue balls in the box. The number of blue balls is as many as the white balls and is equal to one third of the number of green balls. The sum of the blue and white balls is 55. In a one-shot attempt, despite how many balls must be taken to have 2 blue balls?",A) 100 B) 106 C) 109 D) 113 E) 119,A) 100 B) 106 C) 109 D) 113 E) 119,D,"Обозначим количество белых шаров как B, зеленых - как G, а синих - как S.
 По условию:
 Количество синих шаров не меньше количества белых (S ≥ B).
 Количество синих шаров равно одной трети количества зеленых (S = G / 3). Поэтому, G = 3S.
 Сумма синих и белых шаров равна 55 (S + B = 55).
 B = 55 - S
 Подставим B в неравенство S ≥ B:
 S ≥ 55 - S
 2S ≥ 55
 S ≥ 27.5
 Так как S должно быть целым числом, минимальное значение S - 28.
 Если S = 28, то G = 3 * 28 = 84 и B = 55 - 28 = 27.
 Итак, у нас есть 27 белых, 28 синих и 84 зеленых шара.
 Чтобы точно получить два синих шара, нужно учитывать худший случай:мы можем сначала взять все белые и зеленые шары. Это в сумме даст 27 белых + 84 зеленых = 111 шаров.
 Чтобы гарантировать наличие двух синих, нужно взять еще два шара:
 111 (белые и зеленые) + 2 (дополнительные синие) = 113. Ответ: 113.","Let's denote the number of white balls as B, green balls as G, and blue balls as S.
 By condition:
 The number of blue balls is not less than the number of white ones (S ≥ B).
 The number of blue balls is equal to one-third of the number of green ones (S = G / 3). Therefore, G = 3S.
 The sum of the blue and white balls is 55 (S + B = 55).
 B = 55-S
 Substitute B for the inequality S ≥ B:
 S ≥ 55 - S
 2S ≥ 55
 S ≥ 27.5
 Since S must be an integer, the minimum value of S is 28.
 If S = 28, then G = 3 * 28 = 84 and B = 55-28 = 27.
 So we have 27 white, 28 blue and 84 green balls.
 To accurately get two blue balls, you need to take into account the worst case:we can take all the white and green balls first. This adds up to 27 white + 84 green = 111 balls.
 To guarantee the presence of two blue ones, you need to take two more balls:
 111 (white and green) + 2 (extra blue) = 113. Answer: 113."
889,Логика,Logic,"В коробке есть белые, зеленые и синие шары. Количество синих шаров не меньше белых и равно одной трети количества зеленых шаров. Сумма синих и белых шаров равняется 37. В одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы было не менее двух зеленых?","There are white, green and blue balls in the box. The number of blue balls is not less than the white balls and is equal to one third of the number of green balls. The sum of the blue and white balls is 37. In a one-shot attempt, despite how many balls must be taken so that there are at least two green balls?",A) 25 B) 27 C) 32 D) 36 E) 39,A) 25 B) 27 C) 32 D) 36 E) 39,E,"Обозначим количество белых шаров как B, зеленых как G, а синих как S.
 По условию:
 Количество синих шаров не меньше количества белых (S ≥ B).
 Количество синих шаров равно одной трети количества зеленых (S = G / 3). Поэтому G = 3S. Сумма синих и белых шаров равна 37 (S + B = 37).
 B = 37 - S. Подставим B в неравенство S ≥ B:
 S ≥ 37 - S
 2S ≥ 37
 S ≥ 18.5
 Так как S должно быть целым числом, минимальное значение S - 19.
 Если S = 19, то G = 3 * 19 = 57 и B = 37 - 19 = 18.
 В итоге, у нас есть 18 белых, 19 синих и 57 зеленых шаров.
 Чтобы гарантированно получить как минимум два зеленых шара, нужно учитывать худший случай: мы можем сначала взять все белые и синие шары, что в сумме дает 18 белых + 19 синих = 37 шаров.
 Чтобы гарантировать наличие двух зеленых, нужно взять еще два шара:
 37 (белые и синие) + 2 (дополнительные зеленые) = 39. Ответ: 39.","Let's denote the number of white balls as B, green balls as G, and blue balls as S.
 By condition:
 The number of blue balls is not less than the number of white ones (S ≥ B).
 The number of blue balls is equal to one-third of the number of green ones (S = G / 3). Therefore, G = 3S. The sum of the blue and white balls is 37 (S + B = 37).
 B = 37-S. Substitute B for the inequality S ≥ B:
 S ≥ 37 - S
 2S ≥ 37
 S ≥ 18.5
 Since S must be an integer, the minimum value of S is 19.
 If S = 19, then G = 3 * 19 = 57 and B = 37-19 = 18.
 As a result, we have 18 white, 19 blue and 57 green balls.
 To be guaranteed to get at least two green balls, you need to take into account the worst case scenario: we can first take all the white and blue balls, which adds up to 18 white + 19 blue = 37 balls.
 To guarantee the presence of two green ones, you need to take two more balls:
 37 (white and blue) + 2 (extra green) = 39. Answer: 39."
890,Логика,Logic,"В коробке есть белые, зеленые и синие шары. Количество синих шаров не меньше белых и равно одной трети количества зеленых шаров. Сумма синих и белых шаров равняется 37. В одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы было не менее двух синих?","There are white, green and blue balls in the box. The number of blue balls is not less than the white balls and is equal to one third of the number of green balls. The sum of the blue and white balls is 37. In a one-shot attempt, despite how many balls must be taken so that there are at least two blue balls?",A) 55 B) 62 C) 66 D) 72 E) 77,A) 55 B) 62 C) 66 D) 72 E) 77,E,"Обозначим количество белых шаров как B, зеленых как G, а синих как S.
 По условию, количество синих шаров не меньше количества белых (S ≥ B), и количество синих шаров равно одной трети количества зеленых (S = G / 3). Также сумма синих и белых шаров равна 37 (S + B = 37).
 Из уравнения S = G / 3 можно выразить G как G = 3S. Подставляем это в уравнение S + B = 37: B = 37 - S.
 Подставляем B в неравенство S ≥ B:
 S ≥ 37 - S
 2S ≥ 37
 S ≥ 18.5.
 Так как S должно быть целым числом, минимальное значение S - 19.
 Если S = 19, то G = 3 * 19 = 57 и B = 37 - 19 = 18.
 В итоге, у нас есть 18 белых, 19 синих и 57 зеленых шаров.
 Чтобы точно получить два синих шара, нужно учитывать худший сценарий: мы можем сначала взять все белые и зеленые шары, что в сумме даст 18 + 57 = 75 шаров.
 Чтобы гарантировать наличие двух синих, нужно взять еще два шара:
 75 (белые и зеленые) + 2 (дополнительные синие) = 77.
 Ответ: 77.","Let's denote the number of white balls as B, green balls as G, and blue balls as S.
 By condition, the number of blue balls is not less than the number of white balls (S ≥ B), and the number of blue balls is equal to one-third of the number of green balls (S = G / 3). Also, the sum of the blue and white balls is 37 (S + B = 37).
 From the equation S = G / 3, we can express G as G = 3S. We substitute this into the equation S + B = 37: B = 37-S.
 Substitute B for the inequality S ≥ B:
 S ≥ 37 - S
 2S ≥ 37
 S ≥ 18.5.
 Since S must be an integer, the minimum value of S is 19.
 If S = 19, then G = 3 * 19 = 57 and B = 37-19 = 18.
 As a result, we have 18 white, 19 blue and 57 green balls.
 To get exactly two blue balls, we need to consider the worst-case scenario: we can first take all the white and green balls, which adds up to 18 + 57 = 75 balls.
 To guarantee the presence of two blue ones, you need to take two more balls:
 75 (white and green) + 2 (extra blue) = 77.
 Answer: 77."
891,Логика,Logic,"В коробке есть белые, зеленые и синие шары. Количество синих шаров не меньше белых и равно одной трети количества зеленых шаров. Сумма синих и белых шаров равняется 37. В одноразовой попытке, несмотря, сколько нужно взять шаров, чтобы было не менее двух белых?","There are white, green and blue balls in the box. The number of blue balls is not less than the white balls and is equal to one third of the number of green balls. The sum of the blue and white balls is 37. In a one-shot attempt, despite how many balls must be taken so that there are at least two white balls?",A) 55 B) 62 C) 66 D) 72 E) 78,A) 55 B) 62 C) 66 D) 72 E) 78,E,"Обозначим количество белых шаров как B, зеленых как G, а синих как S.
 По условию: количество синих шаров не меньше количества белых (S ≥ B).Количество синих шаров равно одной трети количества зеленых (S = G / 3). Следовательно, G = 3S.
 Сумма синих и белых шаров равна 37 (S + B = 37).
 B = 37 - S
 Подставим B в неравенство S ≥ B:
 S ≥ 37 - S
 2S ≥ 37
 S ≥ 18.5
 Так как S должно быть целым числом, минимальное значение S - 19.
 Если S = 19, то G = 3 * 19 = 57 и B = 37 - 19 = 18.
 В итоге, у нас есть 18 белых, 19 синих и 57 зеленых шаров.
 Чтобы гарантировать наличие как минимум двух белых шаров, нужно учитывать худший случай: мы можем сначала взять все синие и зеленые шары, что в сумме дает 19 синих + 57 зеленых = 76 шаров.
 Чтобы гарантировать наличие двух белых, нужно взять еще два шара:
 76 (синие и зеленые) + 2 (дополнительные белые) = 78. Ответ: 78.","Let's denote the number of white balls as B, green balls as G, and blue balls as S.
 By condition: the number of blue balls is not less than the number of white ones (S ≥ B).The number of blue balls is equal to one-third of the number of green balls (S = G / 3). Therefore, G = 3S.
 The sum of the blue and white balls is 37 (S + B = 37).
 B = 37 - S
 Substitute B for the inequality S ≥ B:
 S ≥ 37 - S
 2S ≥ 37
 S ≥ 18.5
 Since S must be an integer, the minimum value of S is 19.
 If S = 19, then G = 3 * 19 = 57 and B = 37-19 = 18.
 As a result, we have 18 white, 19 blue and 57 green balls.
 To ensure that there are at least two white balls, consider the worst case scenario: we can first take all the blue and green balls, which adds up to 19 blue + 57 green = 76 balls.
 To guarantee the presence of two whites, you need to take two more balls:
 76 (blue and green) + 2 (extra white) = 78. Answer: 78."
892,Логика,Logic,"В коробке есть зеленые, синие и белые, всего 15 карандашей. Количество синих карандашей не меньше белых и в два раза меньше зеленых. В одноразовой попытке, несмотря, сколько нужно взять карандашей, чтобы было 2 зеленых?","There are green, blue and white pencils in the box, totaling 15 pencils. The number of blue pencils is as many as white pencils and half as many as green pencils. In a one-shot attempt, despite, how many pencils must be taken so that there are 2 green pencils?",A) 5 B) 7 C) 9 D) 11 E) 13,A) 5 B) 7 C) 9 D) 11 E) 13,C,"Обозначим количество белых карандашей как B, зеленых как G, а синих как S.
 По условию: всего карандашей 15 (B + G + S = 15).
 Количество синих карандашей не меньше белых (S ≥ B).
 Количество синих карандашей в два раза меньше зеленых (S = G / 2). Следовательно, G = 2S.
 Подставим G = 2S в уравнение B + G + S = 15:
 B + 2S + S = 15
 B + 3S = 15
 B = 15 - 3S
 Подставим B в неравенство S ≥ B:
 S ≥ 15 - 3S
 4S ≥ 15
 S ≥ 3.75
 Так как S должно быть целым числом, минимальное значение S - 4.
 Подставим S = 4 в уравнения для B и G:
 G = 2S = 2 * 4 = 8
 B = 15 - 3S = 15 - 3 * 4 = 3
 В итоге, у нас есть 3 белых, 8 зеленых и 4 синих карандаша.
 Чтобы гарантировать наличие хотя бы двух зеленых карандашей, нужно учитывать худший случай: мы можем сначала взять все белые и синие карандаши, что в сумме дает 3 белых + 4 синих = 7 карандашей.
 Чтобы гарантировать наличие двух зеленых, нужно взять еще два карандаша:
 7 (белые и синие) + 2 (дополнительные зеленые) = 9. Ответ: 9.","Let's denote the number of white pencils as B, green pencils as G, and blue pencils as S.
 By condition: there are 15 pencils in total (B + G + S = 15).
 The number of blue pencils is not less than white (S ≥ B).
 The number of blue pencils is half that of green ones (S = G / 2). Therefore, G = 2S.
 Substitute G = 2S in the equation B + G + S = 15:
 B + 2S + S = 15
 B + 3S = 15
 B = 15 - 3S
 Substitute B for the inequality S ≥ B:
 S ≥ 15-3S
 4S ≥ 15
 S ≥ 3.75
 Since S must be an integer, the minimum value of S is 4.
 Substitute S = 4 in the equations for B and G:
 G = 2S = 2 * 4 = 8
 B = 15 - 3S = 15 - 3 * 4 = 3
 As a result, we have 3 white, 8 green and 4 blue pencils.
 To ensure that you have at least two green pencils, you need to consider the worst case scenario: we can first take all the white and blue pencils, which adds up to 3 white + 4 blue = 7 pencils.
 To guarantee the presence of two green ones, you need to take two more pencils:
 7 (white and blue) + 2 (extra green) = 9. Answer: 9."
893,Логика,Logic,"В коробке есть зеленые, синие и белые, всего 15 карандашей. Количество синих карандашей не меньше белых и в два раза меньше зеленых. В одноразовой попытке, несмотря, сколько нужно взять карандашей, чтобы было 2 синих?","There are green, blue and white pencils in the box, totaling 15 pencils. The number of blue pencils is as many as white pencils and half as many as green pencils. In a one-shot attempt, despite, how many pencils must be taken to have 2 blue pencils?",A) 5 B) 7 C) 9 D) 11 E) 13,A) 5 B) 7 C) 9 D) 11 E) 13,E,"Обозначим количество белых карандашей как B, зеленых как G, а синих как S.
 По условию: всего карандашей 15 (B + G + S = 15).
 Количество синих карандашей не меньше белых (S ≥ B).
 Количество синих карандашей в два раза меньше зеленых (S = G / 2). Следовательно, G = 2S.
 Подставим G = 2S в уравнение B + G + S = 15:
 B + 2S + S = 15
 B + 3S = 15
 B = 15 - 3S
 Подставим B в неравенство S ≥ B:
 S ≥ 15 - 3S
 4S ≥ 15
 S ≥ 3.75
 Так как S должно быть целым числом, минимальное значение S - 4.
 Подставим S = 4 в уравнения для B и G:
 G = 2S = 2 * 4 = 8
 B = 15 - 3S = 15 - 3 * 4 = 3
 В итоге, у нас есть 3 белых, 8 зеленых и 4 синих карандаша.
 Чтобы гарантировать наличие хотя бы двух синих карандашей, нужно учитывать худший случай: мы можем сначала взять все белые и зеленые карандаши, что в сумме дает 3 белых + 8 зеленых = 11 карандашей.
 Чтобы гарантировать наличие двух синих, нужно взять еще два карандаша:
 11 (белые и зеленые) + 2 (дополнительные синие) = 13. Ответ: 13.","Let's denote the number of white pencils as B, green pencils as G, and blue pencils as S.
 By condition: there are 15 pencils in total (B + G + S = 15).
 The number of blue pencils is not less than white (S ≥ B).
 The number of blue pencils is half that of green ones (S = G / 2). Therefore, G = 2S.
 Substitute G = 2S in the equation B + G + S = 15:
 B + 2S + S = 15
 B + 3S = 15
 B = 15 - 3S
 Substitute B for the inequality S ≥ B:
 S ≥ 15-3S
 4S ≥ 15
 S ≥ 3.75
 Since S must be an integer, the minimum value of S is 4.
 Substitute S = 4 in the equations for B and G:
 G = 2S = 2 * 4 = 8
 B = 15 - 3S = 15 - 3 * 4 = 3
 As a result, we have 3 white, 8 green and 4 blue pencils.
 To ensure that you have at least two blue pencils, you need to consider the worst case scenario: we can first take all the white and green pencils, which adds up to 3 white + 8 green = 11 pencils.
 To guarantee the presence of two blue ones, you need to take two more pencils:
 11 (white and green) + 2 (extra blue) = 13. Answer: 13."
894,Логика,Logic,"В коробке есть зеленые, синие и белые, всего 15 карандашей. Количество синих карандашей не меньше белых и в два раза меньше зеленых. В одноразовой попытке, несмотря, сколько нужно взять карандашей, чтобы было 2 белых?","There are green, blue and white pencils in the box, totaling 15 pencils. The number of blue pencils is as many as white pencils and half as many as green pencils. In a one-shot attempt, despite, how many pencils must be taken to have 2 white pencils?",A) 5 B) 7 C) 9 D) 12 E) 14,A) 5 B) 7 C) 9 D) 12 E) 14,E,"Обозначим количество белых карандашей как B, зеленых как G, а синих как S.
 По условию:
 Всего карандашей 15 (B + G + S = 15).
 Количество синих карандашей не меньше белых (S ≥ B).
 Количество синих карандашей в два раза меньше зеленых (S = G / 2). Следовательно, G = 2S.
 Подставим G = 2S в уравнение B + G + S = 15:
 B + 2S + S = 15
 B + 3S = 15
 B = 15 - 3S
 Подставим B в неравенство S ≥ B:
 S ≥ 15 - 3S
 4S ≥ 15
 S ≥ 3.75
 Так как S должно быть целым числом, минимальное значение S - 4.
 Подставим S = 4 в уравнения для B и G:
 G = 2S = 2 * 4 = 8
 B = 15 - 3S = 15 - 3 * 4 = 3
 В итоге, у нас есть 3 белых, 8 зеленых и 4 синих карандаша.
 Чтобы гарантировать наличие хотя бы двух белых карандашей, нужно учитывать худший случай: мы можем сначала взять все синие и зеленые карандаши, что в сумме дает 4 синих + 8 зеленых = 12 карандашей.
 Чтобы гарантировать наличие двух белых, нужно взять еще два карандаша:
 12 (синие и зеленые) + 2 (дополнительные белые) = 14. Ответ: 14.","Let's denote the number of white pencils as B, green pencils as G, and blue pencils as S.
 By condition:
 There are 15 pencils in total (B + G + S = 15).
 The number of blue pencils is not less than white (S ≥ B).
 The number of blue pencils is half that of green ones (S = G / 2). Therefore, G = 2S.
 Substitute G = 2S in the equation B + G + S = 15:
 B + 2S + S = 15
 B + 3S = 15
 B = 15 - 3S
 Substitute B for the inequality S ≥ B:
 S ≥ 15-3S
 4S ≥ 15
 S ≥ 3.75
 Since S must be an integer, the minimum value of S is 4.
 Substitute S = 4 in the equations for B and G:
 G = 2S = 2 * 4 = 8
 B = 15 - 3S = 15 - 3 * 4 = 3
 As a result, we have 3 white, 8 green and 4 blue pencils.
 To ensure that you have at least two white pencils, you need to consider the worst case scenario: we can first take all the blue and green pencils, which adds up to 4 blue + 8 green = 12 pencils.
 To guarantee the presence of two white ones, you need to take two more pencils:
 12 (blue and green) + 2 (extra white) = 14. Answer: 14."
